modelica.jturbine,modelica.ratio,modelica.rho,tl_peakPowerOutput.output,tl_integratedEnergy.output,CfgID
25417589.69,118.3428858,1.29424008,691.1051786,26700.85139,cfg1
138487890.8,91.88943587,1.345998633,95.23455715,4260.216014,cfg1
67659889.45,93.32402428,1.413311433,174.5563664,7145.79784,cfg1
83265186.13,89.32118788,1.047083592,135.5317802,5704.345748,cfg1
142788186.5,86.71505789,1.170476874,85.32306387,3884.17637,cfg1
81245556.98,88.92315961,1.087807079,137.2563271,5765.013344,cfg1
157632004.2,112.3509232,1.473855499,118.7587774,5182.734457,cfg1
107905771.5,104.4377203,1.195014485,142.957068,6038.307506,cfg1
63238974.85,94.30269604,1.137170655,188.725144,7669.968274,cfg1
81644681.24,85.74484327,1.222305537,128.4745851,5431.476163,cfg1
78141885.86,97.81694721,1.275296966,167.5862773,6911.383591,cfg1
65277592.3,110.9476184,1.45399401,247.5182636,9915.130943,cfg1
70268098.45,117.6814052,1.284378132,258.3524177,10344.38467,cfg1
57188978.77,95.54971818,1.235488109,211.4201743,8510.926889,cfg1
115333675.3,115.1388228,1.229442685,160.0990937,6704.07963,cfg1
108122740.9,98.05551795,1.34628855,128.2078223,5476.455812,cfg1
151108729.2,111.6900365,1.109746753,121.6343089,5285.499557,cfg1
119474843,106.6763131,1.430650867,136.2522949,5801.827299,cfg1
49975212.09,103.101903,1.14803535,275.6961982,10927.95091,cfg1
72535874.54,109.7719852,1.077833006,220.5539246,8911.444012,cfg1
69992659.3,103.4157853,1.312791628,204.0825371,8276.617481,cfg1
143013016.8,109.683786,1.128343745,123.3594942,5341.972201,cfg1
135527229.9,102.8641296,1.439223111,115.8427263,5045.502443,cfg1
124776282.4,107.0188406,1.399433314,132.2045995,5655.397437,cfg1
159755920.7,101.4776549,1.293029176,99.8637083,4461.811068,cfg1
116055856.1,98.08363808,1.371260659,121.1561851,5220.605598,cfg1
148575018.2,118.7230833,1.313995535,136.5614683,5852.47511,cfg1
24789713.71,117.115361,1.204891988,693.854462,26802.29536,cfg1
23844493.43,92.87982336,1.37416026,455.5634281,17638.46442,cfg1
136404672.2,81.46779371,1.47253913,80.39221396,3685.919372,cfg1
53341557.35,98.03168405,1.117395846,236.1494796,9436.354165,cfg1
68121757.99,91.52418719,1.005601173,167.5861024,6882.122776,cfg1
40892289.07,99.52364158,1.162980287,310.8497199,12222.00542,cfg1
127282642.7,119.36656,1.119886524,156.8200099,6597.494126,cfg1
55262111,92.4373079,1.054662722,205.111404,8263.110607,cfg1
24109788.34,93.26578053,1.256447625,454.3795182,17595.30757,cfg1
89330102.25,108.1884911,1.44255944,178.6448686,7360.016253,cfg1
156428364.5,103.7723472,1.435232089,105.1057372,4659.208465,cfg1
159976757.6,98.61336135,1.127723158,95.42970693,4291.914048,cfg1
165752689.6,80.85056998,1.49605601,69.85236101,3309.082518,cfg1
110811304.3,87.547362,1.287167475,104.4080617,4572.037514,cfg1
108053277,116.5203407,1.492755048,172.8999398,7179.220152,cfg1
46722775.73,92.88987061,1.480186296,240.9533898,9588.64216,cfg1
72623525.97,90.11007441,1.404521587,154.3246822,6391.313626,cfg1
147802978.2,87.89120578,1.060866135,84.94040317,3875.253868,cfg1
82537724.17,85.73078769,1.463647703,127.3060344,5389.156834,cfg1
87941422.24,108.5533293,1.237494017,182.1969938,7492.025935,cfg1
120395703.9,86.3461276,1.192413287,95.95805752,4263.35998,cfg1
54227266.65,95.36097725,1.343776381,220.9847303,8862.829859,cfg1
161872529.5,104.6256263,1.396126871,103.7326614,4612.250368,cfg1
106814502.4,85.10124174,1.398186421,102.6386734,4497.467807,cfg1
126786694.5,86.69383413,1.185044215,92.9333658,4156.45017,cfg1
116472285,110.9588644,1.398196137,148.8794157,6278.418628,cfg1
52854827.78,87.02935487,1.155206221,191.0783837,7719.174332,cfg1
104171412.8,93.67157721,1.176914291,122.3824783,5247.194665,cfg1
164210958,81.70289938,1.489853155,71.28192602,3363.349008,cfg1
54352819.32,112.2881325,1.162170718,299.8482632,11868.36073,cfg1
69244883.28,111.1214638,1.270504466,235.2620749,9461.380307,cfg1
91263064.47,114.0031964,1.264939369,192.64002,7897.239671,cfg1
138896440.1,97.27455811,1.281959487,103.8797776,4592.173587,cfg1
85315858.62,112.032214,1.147155126,198.0825984,8090.517744,cfg1
38118316.32,98.14726624,1.259957313,323.3620869,12683.25282,cfg1
152236007.5,95.00156435,1.389269395,93.476204,4208.701531,cfg1
101284500.7,90.84245295,1.477053866,118.9489234,5110.80886,cfg1
160335437.6,102.2801944,1.162434193,100.8260593,4499.300725,cfg1
18687724.57,100.7101198,1.225619227,679.5293902,26205.54256,cfg1
45459096.63,95.0517553,1.191618331,258.0424159,10233.15388,cfg1
37167271.7,114.5664198,1.477695897,447.2653585,17415.79167,cfg1
126568235.7,86.54978534,1.329176333,92.81403734,4151.560791,cfg1
116979719.5,90.73964296,1.352142175,106.0586107,4645.148231,cfg1
45243785.52,106.4037061,1.311828883,321.2939774,12644.18229,cfg1
141021865.7,91.38885757,1.267436507,93.18354087,4184.556425,cfg1
33221034.72,109.2291651,1.434810665,454.0618425,17651.21521,cfg1
10147919.05,90.30802831,1.299826042,1004.439813,38696.31289,cfg1
61923532.23,103.7960148,1.120513696,229.3701843,9212.111641,cfg1
21801874.8,109.5815105,1.023496986,690.173064,26639.15503,cfg1
55565478.8,115.696537,1.397154026,310.949736,12296.99968,cfg1
14262298.57,116.5197166,1.415361793,1190.54956,45905.38241,cfg1
106693204.1,107.0867992,1.203407281,150.6984136,6331.090737,cfg1
134744323.8,97.87495731,1.270729655,107.3741342,4720.678572,cfg1
25610516.59,106.5975362,1.212443918,557.5950577,21569.09408,cfg1
101324127.8,81.49494757,1.091425821,99.74570327,4376.712926,cfg1
101260189.9,119.7703309,1.492448511,192.19156,7901.219531,cfg1
31985976.43,119.7230968,1.125718918,564.2434903,21868.95882,cfg1
35052706.02,94.85542683,1.286136859,327.7808514,12832.52317,cfg1
165387713.2,92.64447815,1.301612193,84.79631369,3888.224504,cfg1
58738241.32,80.98471979,1.486419701,153.1591277,6300.912605,cfg1
73264123.58,89.69248297,1.30019209,151.9341025,6302.209307,cfg1
42281327.69,113.4897589,1.401363734,387.9890625,15176.66178,cfg1
135422208.5,88.31751875,1.309097126,91.1065382,4097.76512,cfg1
149699169.3,93.80471907,1.14419464,92.81973205,4180.674175,cfg1
101943499.8,101.3694579,1.177268868,142.3913876,6005.836956,cfg1
72221528.93,109.1217837,1.16222763,219.0052754,8851.529605,cfg1
20066222.49,117.4790796,1.113844399,860.8372874,33203.44926,cfg1
79987483.57,119.498403,1.338505208,236.2356298,9529.93264,cfg1
136692389.2,96.35318164,1.3012446,103.5804722,4577.948472,cfg1
111457001.7,84.80182684,1.321683867,98.83244899,4359.549818,cfg1
138558545.2,110.8056271,1.175943659,128.7090942,5540.697296,cfg1
151385310.4,95.00529624,1.018178807,93.86786626,4222.812981,cfg1
39725773.12,92.5940723,1.216499303,278.2351164,10971.18671,cfg1
13688777.26,88.50497528,1.056057624,715.3207709,27545.90275,cfg1
61703319.1,117.248927,1.20376654,289.2525444,11493.25272,cfg1
112943799.1,114.8018615,1.389664083,162.1455319,6778.069059,cfg1
124212587,95.24760588,1.287255399,109.4598367,4786.086743,cfg1
68750103.52,118.4527024,1.065476186,266.8354855,10662.8714,cfg1
159099303.6,116.8817947,1.409947403,125.8274918,5454.330733,cfg1
57530937.84,115.2773487,1.042630894,298.9429537,11846.88678,cfg1
141827433.7,104.4386744,1.096125571,114.5757994,5004.963983,cfg1
47758180.82,101.8117496,1.385024426,280.7723911,11110.93497,cfg1
128437643.9,107.7025415,1.199165279,130.516693,5596.225264,cfg1
106673945.2,117.5775006,1.052668578,177.6637427,7358.168694,cfg1
10537347.78,85.567543,1.170216666,868.1604483,33428.44244,cfg1
154784349.9,118.1737459,1.469334545,131.0397277,5648.725575,cfg1
30760603.95,86.71706309,1.24109899,311.9868667,12199.22527,cfg1
20455994.04,93.51718544,1.009111093,536.4343977,20714.19033,cfg1
100952465.3,85.97816801,1.335127159,108.9757266,4729.250897,cfg1
133798925.6,96.17215109,1.006861058,104.9736481,4627.575091,cfg1
132207686.3,88.1159216,1.148813984,92.39705799,4143.197033,cfg1
49428471.97,119.6989482,1.146100538,370.6602226,14550.25608,cfg1
31601336.24,116.9939676,1.146834015,545.5629764,21149.39108,cfg1
