CfgID,IN_ElemCount,IN_E11,IN_E22,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
28-16,36,31633.14115,76153.0357,Steel,87.01234651,21.4380269,154841.5813,2453.818527
30-20,51,28364.97946,17630.84049,Steel,94.97131535,29.15854081,170250.0144,2226.665798
32-20,43,28123.37607,57572.56077,Steel,88.48327986,20.65625411,162293.3502,2499.878266
32-20,34,27938.97653,52505.70072,Steel,87.51748907,24.29196477,162209.1397,2412.372656
30-16,47,28936.90846,44755.63287,Steel,93.07714433,27.30641161,166862.8255,2207.752595
28-16,50,28260.13619,52256.2893,Steel,95.25665856,28.84124384,166520.0966,2251.680421
32-20,21,29877.45865,11990.16499,Steel,85.83486839,27.6213468,161702.2569,2228.245081
32-16,40,29606.59103,81709.73366,Steel,78.92411462,23.66100159,146363.985,2451.044455
32-20,17,27890.28644,59410.91711,Steel,84.26025121,23.48575194,159305.9636,2443.587872
32-16,22,29802.47968,25645.93281,Steel,96.05806838,25.49630153,172040.2207,2014.575662
32-20,36,30069.11651,21010.87977,Steel,79.98704959,28.52228741,148629.3781,2341.408323
30-16,41,27515.32508,68450.25473,Steel,86.25277274,28.2676177,158479.7439,2376.753295
30-16,56,27422.04255,19153.72619,Steel,93.44656424,22.49683356,165487.1624,2408.062171
28-20,38,28510.83377,23322.62351,Steel,79.61995614,23.98674401,142252.6742,2815.514725
32-20,34,29721.37609,28505.56218,Steel,82.67422328,21.9869361,149235.5653,2500.484418
32-20,35,28289.70706,41042.6811,Steel,81.94332297,26.63135284,149721.9279,2447.409614
28-16,40,29959.29973,85728.78738,Steel,86.12863995,29.53373643,156405.3895,2327.099805
28-16,39,28347.79269,60344.06689,Steel,96.58747046,23.46938066,165763.4068,2344.97372
32-20,48,28871.51365,39756.66063,Steel,82.27605901,29.79847613,150866.1264,2333.20171
30-16,48,31845.81054,89913.34355,Steel,83.03556853,22.24831311,152349.8396,2413.313003
32-16,18,27765.08129,51780.77793,Steel,86.3459816,29.4942999,162235.9185,2172.016156
32-20,52,30386.5779,31502.88376,Steel,87.61079753,25.48435812,162828.8695,2274.577122
28-20,20,31743.38468,19379.50721,Steel,94.00047022,22.13968292,163677.5139,2299.535966
32-20,27,29143.09324,15513.74512,Steel,92.1119646,22.21063452,165531.6987,2302.867487
30-20,37,31796.18986,42045.14799,Steel,88.46522486,22.65319383,160304.4742,2357.232297
28-20,28,28690.77092,79911.35915,Steel,78.5751356,29.77300173,142623.87,2612.512884
30-20,36,28415.55548,14683.59742,Steel,92.25446036,20.30331315,162471.0696,2523.444351
28-20,13,30695.63711,82007.28453,Steel,85.81838911,23.89768355,155113.327,2447.716484
30-16,20,30452.65625,76904.64677,Steel,96.2550978,26.1093268,169326.9379,2057.364335
30-16,60,29524.05204,16595.25833,Steel,77.64580559,29.91248132,143925.2345,2417.151809
32-20,46,29148.57299,43428.88549,Steel,77.59456083,22.10308383,145445.6136,2669.396511
30-20,16,28172.67738,66560.37931,Steel,77.55394008,20.85114094,142592.2946,2799.757872
30-16,22,29780.57602,44580.45587,Steel,88.24614092,24.07488632,159112.6852,2295.489532
30-16,16,29162.71444,12610.03971,Steel,90.92599293,20.35204777,160532.393,2346.935271
32-20,52,28905.62996,11559.39941,Steel,83.7426102,25.72449622,159410.9953,2411.956832
32-16,55,30857.62261,63540.16018,Steel,91.75839077,24.83459299,165822.9521,2115.879115
32-16,55,30701.74932,85564.53008,Steel,87.97521696,27.41765334,163081.9419,2124.092273
30-16,18,26308.7535,26757.37946,Steel,90.08996295,20.25831462,159600.5648,2525.819829
30-20,40,31522.60748,32906.62687,Steel,80.94071177,23.34169005,145907.9051,2529.217565
30-16,10,30679.45891,46602.43716,Steel,82.81407739,22.99586202,152207.9952,2289.284351
28-20,11,29638.18853,61301.28699,Steel,85.38985227,28.99952325,155968.2742,2345.80309
28-16,47,31124.71028,54192.43281,Steel,95.97209973,26.07110989,165943.6516,2189.078028
28-16,35,29357.22832,44031.98587,Steel,91.9944958,27.45363736,160690.3964,2291.32066
32-16,15,31028.73728,86152.4486,Steel,79.16301807,20.11082167,145651.6798,2403.498586
28-16,49,27337.73757,35881.58073,Steel,83.83013796,28.59786591,154199.5679,2543.151993
28-16,14,29858.54837,72136.12933,Steel,78.29829787,23.83557968,140684.9169,2584.713223
30-20,16,27483.30778,20482.11676,Steel,93.45666592,24.95368146,167201.6636,2328.906744
28-16,35,27274.90975,74345.15556,Steel,85.90224528,25.63824442,155282.6595,2576.20311
28-16,44,29110.25475,52968.41026,Steel,90.75555123,25.03201658,158963.4823,2405.047704
32-16,17,29177.51085,61933.28054,Steel,91.34255607,26.3524432,165651.49,2086.141028
30-16,44,29907.88131,65664.32356,Steel,78.08511196,25.53309309,143232.1615,2513.602554
32-16,26,31115.44248,22557.41504,Steel,89.89482354,25.94194288,164313.3472,2068.590116
30-16,13,27843.69174,15091.21249,Steel,92.8691995,22.89432132,162785.9504,2268.940895
30-16,24,31709.59936,24600.94553,Steel,95.32670233,26.25373367,168325.7731,2034.214687
30-16,46,30924.11115,35292.75283,Steel,96.82648295,21.54168308,168039.8018,2159.256669
28-16,24,27931.55611,41109.8902,Steel,87.63804997,20.2049281,155192.0355,2641.037994
32-16,23,27974.19619,13859.52074,Steel,81.48918796,20.45097843,147820.8511,2551.102135
28-16,10,28425.86814,48230.28959,Steel,82.29034369,29.03814253,145125.2625,2357.09705
30-20,45,30632.95471,26356.23797,Steel,82.69108475,27.91651261,148338.214,2389.001872
28-20,48,29576.09476,48146.49386,Steel,93.83922999,29.33879986,165513.5712,2280.37601
30-16,19,30294.3066,86515.09683,Steel,93.57533737,22.76628332,165665.0285,2188.310968
28-16,39,27584.11507,12376.16737,Steel,91.26819943,29.11973824,160714.5836,2352.493687
30-16,45,28116.12419,69179.44052,Steel,83.41089351,28.74679462,154069.3516,2386.657419
32-16,52,27810.47084,85762.48379,Steel,85.94031567,23.53346684,160397.874,2407.286743
32-16,15,26604.6539,23452.79964,Steel,83.88148215,21.57200653,158123.6809,2470.293039
32-20,15,26962.59632,39183.47912,Steel,90.2644817,28.5708557,165949.7493,2214.148955
30-20,27,28633.20718,75164.7715,Steel,91.17347533,22.06112646,162346.9073,2459.503763
28-20,7,27648.01216,68322.84758,Steel,94.51587719,28.66965143,165931.1086,2157.605291
32-20,10,30397.62208,25939.96635,Steel,89.98810873,24.14146302,164250.4703,2105.492422
32-20,30,28985.63837,83647.32406,Steel,85.71474455,24.11187963,160644.6406,2395.41238
28-16,36,27478.22123,35482.36067,Steel,88.89506906,24.46011472,157423.5846,2527.538321
32-20,41,27311.86969,63829.14128,Steel,81.17982179,25.07178732,148750.6337,2574.989345
30-20,35,28995.58881,40566.9391,Steel,80.45848979,20.91336581,144770.2508,2754.696027
30-16,44,26400.01861,43658.85854,Steel,96.93112736,25.11962467,169205.6096,2318.878865
30-16,12,27428.90175,26969.09104,Steel,88.04502595,28.07605725,160085.5188,2234.113862
28-20,49,29132.51284,65687.78617,Steel,86.63999655,29.84634966,157189.3249,2429.310734
30-16,14,26382.61736,20946.92277,Steel,81.64584141,29.07282955,146801.6745,2427.212683
30-16,21,31050.37128,27206.63321,Steel,78.56726418,26.73348385,143940.8031,2367.090778
30-20,23,29714.78008,18300.16491,Steel,89.06250661,26.44432578,161682.6868,2304.334727
32-16,42,31797.40163,28818.83615,Steel,86.03346486,20.51880418,159456.8834,2297.105566
28-16,32,28762.5258,54456.12009,Steel,95.59792286,28.4033957,166297.186,2214.460599
28-20,24,29940.21393,31961.15873,Steel,95.00564861,25.39117002,165788.3609,2308.904171
30-20,26,28357.0121,56572.01074,Steel,77.33814427,22.3447672,142951.6346,2793.774573
28-16,21,31246.66615,89251.58902,Steel,77.91592294,27.1439768,140996.8106,2469.10581
28-20,22,28560.34704,50213.96938,Steel,81.83801701,27.98652885,144871.5627,2579.376326
30-20,11,26327.80381,75829.81076,Steel,86.91828022,27.01568539,159963.8476,2420.915172
28-20,45,30955.47176,60577.29435,Steel,77.43343967,22.37468133,140160.7803,2796.091402
32-20,24,29393.79678,40044.80823,Steel,79.27066727,27.75065273,147729.1392,2388.694055
32-16,46,28061.80326,88511.47044,Steel,88.41979682,25.26955453,172324.9093,1987.930245
28-16,18,29677.01356,18769.08163,Steel,78.98092202,23.86144106,141034.9146,2617.236418
28-20,36,27728.79281,73592.3966,Steel,96.85168941,28.96546603,167806.2003,2323.002098
28-16,49,28779.75394,27705.09404,Steel,81.78184919,21.75582906,142974.8663,2732.265768
30-20,13,29208.92492,78426.9493,Steel,78.637512,29.347729,145578.8726,2417.670934
30-20,11,29107.62385,51950.97928,Steel,77.31938385,27.54213496,143849.6912,2478.867083
30-16,12,27049.79881,61216.90093,Steel,87.78154783,24.80086969,158876.0227,2340.7489
30-16,36,30054.3426,24382.32523,Steel,78.26113055,23.63187732,142939.7767,2556.064015
30-16,44,31329.27723,60219.45672,Steel,81.40032103,22.05602246,145107.7155,2486.502137
28-20,28,27067.77116,58813.70805,Steel,90.47228953,22.22938386,158252.9387,2670.777487
28-20,44,28075.67757,52323.47569,Steel,96.60046597,25.91729981,167048.5093,2400.101575
28-20,10,29040.69029,82313.56438,Steel,91.43495348,21.85282405,159181.8711,2408.891826
32-20,20,27852.96958,14735.92616,Steel,92.01933247,20.70636125,164998.821,2385.428146
28-16,29,29840.76472,45703.58836,Steel,86.74819521,29.1922115,156818.5212,2306.458994
28-16,34,26249.21409,52827.43094,Steel,94.73556878,28.0547039,165730.4429,2367.650132
30-20,49,31313.5701,15913.23184,Steel,86.20267607,26.57248041,159055.4236,2332.909629
28-20,21,30240.61602,64322.65166,Steel,91.29147048,26.53901509,160237.2084,2336.574001
28-20,26,31514.80546,84669.6085,Steel,89.41902867,23.29055929,157725.0887,2423.294087
32-16,52,30112.01845,42473.88952,Steel,81.28637719,24.50862095,148496.0103,2363.643517
28-20,22,28850.2728,48448.87243,Steel,79.1581774,21.15416169,141111.3209,2874.351422
28-20,33,28315.36905,48522.59244,Steel,80.85687357,29.62764881,144410.3978,2599.843562
32-20,36,28656.72687,19189.1478,Steel,92.21172975,20.02797705,165026.4087,2390.73076
32-20,18,30212.33407,78849.10587,Steel,93.35773536,20.33683212,168593.9702,2240.913355
28-16,20,26440.58635,52214.48918,Steel,87.25652877,29.63367211,157529.4844,2427.616403
28-20,41,30659.40172,79203.84654,Steel,84.20626329,23.13653602,153771.0004,2614.139842
30-20,21,30043.95119,70891.42309,Steel,79.20082165,26.04171266,144996.6322,2510.294683
30-20,21,27648.61991,84937.21036,Steel,96.46504369,26.41319002,170541.8789,2252.217199
32-20,18,31462.95742,30435.15041,Steel,81.15335646,21.90605599,147842.3322,2400.81398
32-20,12,27260.499,30689.06387,Steel,86.61026516,24.74606759,161654.2496,2344.442568
32-16,5,31877.2933,27181.05639,Steel,94.00668855,27.98643894,146579.9442,2713.847295
32-16,48,28185.29978,49873.45339,Steel,93.39262312,23.91320312,169304.15,2226.445364
28-20,13,30449.13517,50233.01927,Steel,82.72038257,23.35571614,144404.4179,2540.492985
30-20,25,29414.00303,89029.37077,Steel,86.79089159,23.89305833,158927.7465,2453.052359
28-20,30,28663.80357,45359.36816,Steel,78.3882858,24.43623129,141182.12,2800.990863
30-16,56,30636.75101,57740.11278,Steel,92.49172466,28.62032842,164107.4294,2116.46256
32-20,54,30179.54478,38169.5966,Steel,87.30380048,25.50980193,162595.026,2290.737362
32-16,13,26547.01057,73152.33771,Steel,89.21423609,21.05988885,162310.8737,2343.691662
28-20,41,29043.27503,31021.50093,Steel,84.2845229,24.31838082,153878.7636,2658.484085
28-20,36,28249.42949,67375.48115,Steel,88.56335474,29.87671026,159204.1918,2421.775418
30-20,33,27784.66102,21613.79896,Steel,78.86440849,23.69882284,144270.0707,2753.048067
