CfgID,GUID,IN_E11,IN_E22,IN_ElemCount,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
28-16,d6d307bd-ea1c-4d99-9d92-c82d0f239142,31633.14115,76153.0357,36,Steel,87.01234651,21.4380269,154841.5813,2453.818527
30-20,c2a7a5da-9774-49b5-b1be-2ac1d9d212af,28364.97946,17630.84049,51,Steel,94.97131535,29.15854081,170250.0144,2226.665798
32-20,d5c8f43c-77c5-4c25-bfe9-6c8f56bc4507,28123.37607,57572.56077,43,Steel,88.48327986,20.65625411,162293.3502,2499.878266
32-20,d2c749ab-0fd9-4b0f-92e0-3a00d6c8ec31,27938.97653,52505.70072,34,Steel,87.51748907,24.29196477,162209.1397,2412.372656
30-16,3c9fdf16-93c5-4bdf-90d5-cfc6e766e971,28936.90846,44755.63287,47,Steel,93.07714433,27.30641161,166862.8255,2207.752595
28-16,5c18d804-0b56-4de2-8abf-9e3e3c8d05c5,28260.13619,52256.2893,50,Steel,95.25665856,28.84124384,166520.0966,2251.680421
32-20,e51b83ef-8f47-4ed5-9520-1aa62a6c2bd8,29877.45865,11990.16499,21,Steel,85.83486839,27.6213468,161702.2569,2228.245081
32-16,61c5eb2e-f187-4fbc-89ec-dd5b0b027a22,29606.59103,81709.73366,40,Steel,78.92411462,23.66100159,146363.985,2451.044455
32-20,970990f8-4a80-42f4-a1ea-0063e01cb6b5,27890.28644,59410.91711,17,Steel,84.26025121,23.48575194,159305.9636,2443.587872
32-16,8c1c9ef3-320c-49e8-ae3e-587ba99ea14f,29802.47968,25645.93281,22,Steel,96.05806838,25.49630153,172040.2207,2014.575662
32-20,aaa94afe-42bc-4e55-86bd-9721b6fa6274,30069.11651,21010.87977,36,Steel,79.98704959,28.52228741,148629.3781,2341.408323
30-16,f07aa0de-0189-43bd-a3d5-e125a7b0d8a0,27515.32508,68450.25473,41,Steel,86.25277274,28.2676177,158479.7439,2376.753295
30-16,452bacdf-3f5a-44b4-a8bc-ca08a4d371d4,27422.04255,19153.72619,56,Steel,93.44656424,22.49683356,165487.1624,2408.062171
